roi,start_x,start_y,start_z,end_x,end_y,end_z,centroid_x,centroid_y,centroid_z
ATR_L,36.0,-51.0,-41.0,-35.0,-51.0,-41.0,0.5,-39.88532344668883,-35.35579135770902
ATR_R,11.0,-30.0,-27.0,-10.0,-31.0,-33.0,0.5,-29.227999999999994,-30.819333333333333
CST_L,20.0,21.0,24.0,-19.0,24.0,20.0,0.2595186984521547,26.110495989153776,7.265958648740252
CST_R,17.0,-30.0,36.0,-6.0,19.0,12.0,0.6386113339654287,-5.250820509080299,27.299248778353146
CGC_L,30.0,-57.0,9.0,-26.0,-62.0,9.0,0.6870139052557107,-42.15829994500746,17.829051771545295
CGC_R,3.0,-21.0,18.0,0.0,3.0,1.0,0.5113808801213935,-6.128983308042493,12.864946889226104
CGH_L,2.0,-37.0,-55.0,9.0,-16.0,-22.0,7.090308370044056,-24.904552129221727,-32.6424375917768
CGH_R,-1.0,-37.0,-55.0,-9.0,-17.0,-22.0,-6.043795620437962,-24.989051094890513,-32.8051094890511
FX_MAJOR,4.0,-37.0,-45.0,9.0,-32.0,-25.0,5.589855072463763,-36.71739130434783,-33.46231884057971
FX_MINOR,-3.0,-37.0,-45.0,-8.0,-32.0,-25.0,-4.530758226037193,-36.715307582260365,-33.44062947067239
IFO_L,7.0,-41.0,-55.0,8.0,-55.0,-21.0,9.414256198347104,-44.375,-37.361570247933884
IFO_R,-6.0,-41.0,-55.0,-7.0,-55.0,-21.0,-8.414256198347104,-44.375,-37.361570247933884
ILF_L,10.0,-53.0,-34.0,5.0,-28.0,-17.0,6.514112903225808,-41.62399193548387,-24.607862903225808
ILF_R,-9.0,-53.0,-34.0,-4.0,-28.0,-17.0,-5.514112903225808,-41.62399193548387,-24.607862903225808
SLF_L,11.0,-31.0,-21.0,15.0,-7.0,-5.0,13.282704126426694,-18.366988586479366,-12.488147497805095
SLF_R,-10.0,-31.0,-21.0,-14.0,-7.0,-5.0,-12.282704126426694,-18.366988586479366,-12.488147497805095
UNC_L,22.0,-7.0,18.0,22.0,23.0,1.0,18.07138304652645,7.588272785213519,8.063416188655196
UNC_R,-18.0,-8.0,17.0,-21.0,23.0,1.0,-17.21603711066932,7.425115970841631,8.259111994698472
SLF_T_L,9.0,-3.0,-2.0,28.0,-27.0,18.0,20.463239211507727,-13.170751198721362,7.851891315929677
SLF_T_R,-8.0,-3.0,-2.0,-27.0,-27.0,18.0,-19.466684434968016,-13.177238805970148,7.853944562899784
ALIC_L,38.0,-23.0,-3.0,27.0,-36.0,18.0,31.521669980119285,-29.260039761431415,6.018290258449298
ALIC_R,-39.0,-27.0,-3.0,-23.0,-31.0,18.0,-30.201701093560146,-29.44714459295261,5.816119886593768
PLIC_L,12.0,30.0,-13.0,18.0,17.0,35.0,21.546357132428085,28.06453496860857,9.742006132282086
PLIC_R,-11.0,30.0,-13.0,-17.0,17.0,35.0,-20.546409807355516,28.06450671336836,9.73759486281378
RLIC_L,22.0,-32.0,40.0,19.0,17.0,35.0,23.91973333333334,-7.82586666666667,30.027600000000007
RLIC_R,-21.0,-31.0,41.0,-18.0,17.0,35.0,-22.935935002663825,-7.831646244006393,30.008923814597765
ACR_L,31.0,-64.0,19.0,21.0,-24.0,30.0,25.44769313304721,-38.14216738197425,27.821888412017174
ACR_R,-30.0,-64.0,19.0,-19.0,-25.0,33.0,-24.361335487345187,-38.01211631663975,27.946957458266027
SCR_L,29.0,-73.0,3.0,40.0,-38.0,3.0,33.8766364551863,-54.69612286002014,7.213746223564954
SCR_R,-28.0,-73.0,3.0,-39.0,-38.0,3.0,-32.623931623931625,-54.74861739567622,7.148064353946708
PCR_L,33.0,-58.0,-4.0,39.0,-9.0,-19.0,39.809694793536806,-31.504039497307005,-9.397217235188506
PCR_R,-32.0,-58.0,-4.0,-38.0,-9.0,-19.0,-38.798744957418194,-31.498431196772742,-9.385477364410576
PTR_L,29.0,-23.0,17.0,23.0,22.0,-3.0,30.877808219178085,-1.3731506849315025,6.334246575342462
PTR_R,-28.0,-23.0,17.0,-22.0,22.0,-3.0,-29.879726027397254,-1.378904109589044,6.329863013698628
SS_L,11.0,-50.0,20.0,8.0,35.0,9.0,8.168659265584964,-11.126387702818107,29.935098206660967
SS_R,-11.0,-53.0,17.0,-7.0,36.0,11.0,-7.268629589240277,-10.166484914576515,29.970556161395862
EC_L,23.0,-13.0,-27.0,10.0,-48.0,9.0,22.048543689320383,-29.246763754045304,-13.946601941747574
EC_R,-23.0,-16.0,-27.0,-9.0,-50.0,9.0,-19.64588744588744,-32.029437229437235,-12.708225108225108
FX_L,20.0,-34.0,9.0,34.0,-6.0,-19.0,29.078291814946617,-23.967971530249116,-6.218861209964416
FX_R,-20.0,-34.0,9.0,-33.0,-6.0,-19.0,-28.104,-23.980444444444444,-6.23555555555555
FXST_L,36.0,-60.0,16.0,32.0,11.0,23.0,36.43438777054639,-25.596639927349784,25.928106553655212
FXST_R,-35.0,-60.0,16.0,-31.0,11.0,23.0,-35.43573050719152,-25.597577592732776,25.926570779712335
SFO_L,18.0,-11.0,19.0,21.0,17.0,19.0,21.224852071005913,2.021696252465489,21.12228796844181
SFO_R,-17.0,-11.0,19.0,-20.0,17.0,19.0,-20.224852071005913,2.021696252465489,21.12228796844181
TAP_L,35.0,-20.0,-4.0,16.0,21.0,-10.0,30.084140744518102,3.2677205507394262,-7.960734319224883
TAP_R,-34.0,-20.0,-4.0,-15.0,21.0,-10.0,-29.02736189984512,3.3624161073825576,-7.903975219411464
SCC,37.0,1.0,-21.0,30.0,5.0,-12.0,34.0,1.155263157894737,-15.792105263157893
GCC,-37.0,1.0,-21.0,-29.0,-2.0,-12.0,-33.5,-1.1143617021276526,-15.922872340425535
BCC,0.0,1.0,-21.0,0.0,1.5,-12.0,0.0,0.020450727883542186,-15.857488801791714
CC,0.0,1.0,-21.0,0.0,1.5,-12.0,0.0,0.020450727883542186,-15.857488801791712
IC,0.16666666666666666,-8.833333333333334,8.166666666666666,1.0,0.16666666666666666,29.333333333333332,0.550619090383537,-3.03927593051336,15.225089159122783
CR,0.5,-65.0,6.0,0.6666666666666666,-23.833333333333332,5.166666666666667,0.5583353855125518,-41.43358244139835,8.557993641365963
