tract_id,start_x,start_y,start_z,end_x,end_y,end_z,diagnosis,metric_value
ATR_L,36.0,-51.0,-41.0,-35.0,-51.0,-41.0,AD,0.4279237089116699
ATR_R,11.0,-30.0,-27.0,-10.0,-31.0,-33.0,AD,0.41085539035008534
CST_L,20.0,21.0,24.0,-19.0,24.0,20.0,AD,0.41916079470551626
CST_R,17.0,-30.0,36.0,-6.0,19.0,12.0,AD,0.4034932772373562
CGC_L,30.0,-57.0,9.0,-26.0,-62.0,9.0,AD,0.4121694689172627
CGC_R,3.0,-21.0,18.0,0.0,3.0,1.0,AD,0.42265888656199035
FX_MAJOR,4.0,-37.0,-45.0,9.0,-32.0,-25.0,AD,0.4260146525185795
IFO_L,7.0,-41.0,-55.0,8.0,-55.0,-21.0,AD,0.4253348753958015
IFO_R,-6.0,-41.0,-55.0,-7.0,-55.0,-21.0,AD,0.416468456155248
ILF_L,10.0,-53.0,-34.0,5.0,-28.0,-17.0,AD,0.44026348139756843
ILF_R,-9.0,-53.0,-34.0,-4.0,-28.0,-17.0,AD,0.4221160225625217
SLF_L,11.0,-31.0,-21.0,15.0,-7.0,-5.0,AD,0.43069498371595294
SLF_R,-10.0,-31.0,-21.0,-14.0,-7.0,-5.0,AD,0.4175804473741616
UNC_L,22.0,-7.0,18.0,22.0,23.0,1.0,AD,0.41348816357599727
UNC_R,-18.0,-8.0,17.0,-21.0,23.0,1.0,AD,0.41996360140778516
GCC,-37.0,1.0,-21.0,-29.0,-2.0,-12.0,AD,0.4221359493247213
SCC,37.0,1.0,-21.0,30.0,5.0,-12.0,AD,0.41726475422329423
ATR_L,36.0,-51.0,-41.0,-35.0,-51.0,-41.0,CN,0.4849951010745965
ATR_R,11.0,-30.0,-27.0,-10.0,-31.0,-33.0,CN,0.5104950060640012
CST_L,20.0,21.0,24.0,-19.0,24.0,20.0,CN,0.4982247635822401
CST_R,17.0,-30.0,36.0,-6.0,19.0,12.0,CN,0.5011295161997824
CGC_L,30.0,-57.0,9.0,-26.0,-62.0,9.0,CN,0.5105686313233141
CGC_R,3.0,-21.0,18.0,0.0,3.0,1.0,CN,0.5008899586142984
FX_MAJOR,4.0,-37.0,-45.0,9.0,-32.0,-25.0,CN,0.49304893042252074
IFO_L,7.0,-41.0,-55.0,8.0,-55.0,-21.0,CN,0.4981150575952425
IFO_R,-6.0,-41.0,-55.0,-7.0,-55.0,-21.0,CN,0.5023949910275706
ILF_L,10.0,-53.0,-34.0,5.0,-28.0,-17.0,CN,0.49007690987185326
ILF_R,-9.0,-53.0,-34.0,-4.0,-28.0,-17.0,CN,0.4926403812504345
SLF_L,11.0,-31.0,-21.0,15.0,-7.0,-5.0,CN,0.5042113226099323
SLF_R,-10.0,-31.0,-21.0,-14.0,-7.0,-5.0,CN,0.5063435171570823
UNC_L,22.0,-7.0,18.0,22.0,23.0,1.0,CN,0.5087860971089205
UNC_R,-18.0,-8.0,17.0,-21.0,23.0,1.0,CN,0.48802242960167136
GCC,-37.0,1.0,-21.0,-29.0,-2.0,-12.0,CN,0.5023918746276951
SCC,37.0,1.0,-21.0,30.0,5.0,-12.0,CN,0.488861816790656
